#BLTrackFile VirtualDetector/Det40
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
10.9036 97.331 2798 -0.148137 0.163781 0.563472 4744 22 771 1029 1 1
97.0418 -121.534 2798 3.37317 -0.63621 17.266 486.363 2112 1134 1 0 1
120.744 -31.266 2798 1.27441 -9.39253 36.4064 256.502 2112 2392 1 0 1
31.2639 -32.1142 2798 -1.08315 0.941457 23.8156 376.81 2112 6940 1 0 1
-41.7338 72.8032 2798 2.98226 2.724 16.3114 538.068 2112 7911 1 0 1
16.3246 12.8656 2798 1.57069 2.384 10.5471 775.918 2112 10692 1 0 1
111.346 -65.3668 2798 0.946366 -6.99061 30.7723 290.266 2112 15177 1 0 1
-25.28 -99.7918 2798 0.983211 -0.830415 6.46179 1308.01 2112 18240 1 0 1
125 121.871 2843.29 -5.55567 -1.31507 25.8391 350.446 2112 21069 1 0 1
-112.807 49.7909 2798 -0.15606 -0.230782 1.40546 5455.69 2112 26313 1 0 1
-114.949 -18.738 2798 0.34714 3.34678 12.957 645.071 2112 43112 1 0 1
-20.1278 -115.006 2798 -0.191019 0.0711142 1.20075 6399.59 2112 54179 1 0 1
121.284 38.7247 2798 0.973249 -0.585912 3.02595 2602.99 2112 61179 1 0 1
35.502 89.5432 2798 5.34877 6.87076 39.7306 235.49 2112 64397 1 0 1
48.7942 54.9843 2798 2.64474 -7.29867 31.3883 297.803 2112 70723 1 0 1
34.579 111.359 2798 1.07959 0.0919509 10.6608 773.679 2112 76143 1 0 1
-24.1497 96.5097 2798 -2.40515 0.368849 7.69229 1065.88 2112 78666 1 0 1
-44.0018 -66.6032 2798 1.41329 1.7637 6.38625 1265.78 2112 85356 1 0 1
45.9747 -14.5281 2798 3.71671 5.07647 27.0957 332.006 2112 86849 1 0 1
49.1659 -86.4954 2798 0.146022 0.00271354 0.854367 8873.12 2112 101457 1 0 1
-32.7811 -71.6865 2798 0.200449 0.318231 1.81329 4332.42 2112 102143 1 0 1
